TAZ,population,population_altrnd
1074,1078,1078
1075,3042,3042
1076,660,660
1077,3250,3250
1078,1761,1761
1079,2272,2272
1080,2362,2362
1081,2848,2848
1082,2025,2025
1083,189,189
1084,1459,1459
1085,2172,2172
1086,407,407
1087,1895,1895
1088,4084,4084
1089,605,605
1090,2113,2113
1091,1358,1358
1092,2203,2203
1093,2604,2604
1094,2413,2413
1095,1414,1414
1096,592,592
1097,2440,2440
1098,1999,1999
1099,744,744
1100,1428,1428
1101,2566,2566
1102,1434,1434
1103,2756,2756
1104,1121,1121
1105,2265,2265
1106,2320,2320
1107,2839,2839
1108,1105,1105
1109,3427,3427
1110,1804,1804
1111,1669,1669
1112,578,578
1113,1476,1476
1114,620,620
1115,0,0
1116,455,455
1117,824,824
1118,398,398
1119,1768,1768
1120,2216,2216
1121,3236,3236
1122,1119,1119
1123,575,575
1124,1791,1791
1125,2278,2278
1126,34,34
1127,3711,3711
1128,1554,1554
1129,327,327
1130,2935,2935
1131,4411,4411
1132,3592,3592
1133,1630,1630
1134,2336,2336
1135,2016,2016
1136,1674,1674
1137,2180,2180
1138,489,489
1139,473,473
1140,2978,2978
1141,2290,2290
1142,3604,3604
1143,2031,2031
1144,1393,1393
1145,2003,2003
1146,2994,2994
1147,2575,2575
1148,2919,2919
1149,2072,2072
1150,2863,2863
1151,2692,2692
1152,785,785
1153,1363,1363
1154,1975,1975
1155,1928,1928
1156,2202,2202
1157,1333,1333
1158,1771,1771
1159,2504,2504
1160,1666,1666
1161,2741,2741
1162,1901,1901
1163,3253,3253
1164,2941,2941
1165,1752,1753
1166,2875,2875
1167,2717,2717
1168,2564,2564
1169,1460,1460
1170,1,1
1171,2610,2610
1172,2566,2566
1173,1539,1539
1174,2267,2267
1175,1726,1726
1176,1311,1311
1177,2647,2647
1178,2993,2993
1179,1052,1052
1180,1840,1840
1181,1529,1529
1182,1856,1856
1183,2010,2010
1184,2013,2013
1185,576,576
1186,1627,1627
1187,1591,1591
1188,3721,3721
1189,1708,1708
1190,1986,1986
1191,1180,1180
1192,2358,2358
1193,1662,1662
1194,876,876
1195,2721,2721
1196,147,147
1197,264,264
1198,707,707
1199,1184,1184
1200,1634,1634
1201,2292,2292
1202,1348,1348
1203,2281,2281
1204,1867,1867
1205,2316,2316
1206,1848,1848
1207,3588,3588
1208,2115,2115
1209,3987,3987
1210,1404,1404
1211,1253,1253
1212,3929,3929
1213,1149,1149
1214,0,0
1215,11,11
1216,24,24
1217,3106,3106
1218,2317,2317
1219,2754,2754
1220,408,408
1221,93,93
1222,1154,1154
1223,1894,1894
1224,3738,3738
1225,875,875
1226,1756,1756
1227,1974,1974
1228,1967,1967
1229,3322,3322
1230,4230,4230
1231,1799,1799
1232,152,152
1233,1843,1843
1234,55,55
1235,176,176
1236,1500,1500
1237,1043,1043
1238,1236,1236
1239,1626,1626
1240,1964,1964
1241,2900,2900
1242,754,754
1243,705,705
1244,2215,2215
1245,3655,3655
1246,121,121
1247,252,252
1248,1782,1782
1249,1164,1164
1250,384,384
1251,1167,1167
1252,2142,2142
1253,185,185
1254,2318,2318
1255,2633,2633
1256,1710,1710
1257,963,963
1258,1504,1504
1259,2192,2192
1260,1426,1426
1261,1416,1416
1262,2279,2279
1263,2545,2545
1264,1721,1721
1265,2033,2033
1266,2202,2202
1267,4256,4256
1268,1444,1444
1269,2913,2913
1270,1223,1223
1271,363,363
1272,1130,1130
1273,1519,1519
1274,1473,1473
1275,2759,2759
1276,3407,3407
1277,2539,2539
1278,2581,2581
1279,2254,2254
1280,2068,2068
1281,1247,1247
1282,2193,2193
1283,911,911
1284,1099,1099
1285,661,661
1286,1431,1431
1287,333,333
1288,2099,2099
1289,1472,1472
1290,3123,3123
1291,2640,2640
1292,1390,1390
1293,2979,2979
1294,1853,1853
1295,1890,1890
1296,1940,1940
1297,509,509
1298,0,0
1299,2076,2076
1300,2652,2652
1301,2305,2305
1302,4201,4201
1303,1158,1158
1304,1733,1733
1305,575,575
1306,855,855
1307,342,342
1308,2392,2392
1309,1010,1010
1310,1713,1713
1311,2902,2902
1312,954,954
1313,1366,1366
1314,825,825
1315,1110,1110
1316,183,183
1317,2016,2016
1318,2051,2051
1319,352,352
1320,545,545
1321,462,462
1322,2824,2824
1323,617,617
1324,2293,2293
1325,138,138
1326,3056,3056
1327,85,85
1328,1797,1797
1329,440,440
1330,1701,1701
1331,1091,1091
1332,1036,1036
1333,813,813
1334,2207,2207
1335,1746,1746
1336,1215,1215
1337,1340,1340
1338,458,458
1339,335,335
1340,1176,1176
1341,3032,3032
1342,368,368
1343,3058,3058
1344,2513,2513
1345,1927,1927
1346,2774,2774
1347,868,868
1348,1875,1875
1349,721,721
1350,2132,2132
1351,501,501
1352,1478,1478
1353,1739,1739
1354,1887,1887
1355,1501,1501
1356,296,296
1357,614,614
1358,1968,1968
1359,624,624
1360,33,33
1361,256,256
1362,74,74
1363,2113,2113
1364,1012,1012
1365,46,46
1366,323,323
1367,1767,1767
1368,11,11
1369,73,73
1370,0,0
1371,0,0
1372,0,0
1373,0,0
1374,167,167
1375,676,676
1376,1140,1140
1377,486,486
1378,1689,1689
1379,0,0
1380,2054,2054
1381,2085,2085
1382,2530,2530
1383,3034,3034
1384,1885,1885
1385,3024,3024
1386,2496,2496
1387,5,5
1388,4171,4171
1389,1152,1152
1390,571,571
1391,2359,2359
1392,37,37
1393,2336,2336
1394,1909,1909
1395,610,610
1396,2794,2794
1397,16,16
1398,1030,1030
1399,1200,1200
1400,2587,2587
1401,3695,3695
1402,857,857
1403,1877,1877
1404,520,520
1405,354,354
1406,19,19
1407,1057,1057
1408,2291,2291
1409,2318,2318
1410,1412,1412
1411,2840,2840
1412,43,43
1413,2175,2175
1414,1051,1051
1415,1314,1314
1416,2429,2429
1417,280,280
1418,1288,1288
1419,693,693
1420,0,0
1421,0,0
1422,2021,2021
1423,1429,1429
1424,2277,2277
1425,1361,1361
1426,734,734
1427,325,325
1428,599,599
1429,2036,2036
1430,1726,1726
1431,110,110
1432,2375,2375
1433,450,450
1434,1294,1294
1435,1161,1161
1436,1446,1446
1437,1657,1657
1438,2114,2114
1439,1078,1078
1440,2573,2573
1441,970,970
1442,2116,2116
1443,434,434
1444,2239,2239
1445,2613,2613
1446,880,880
1447,1704,1704
1448,1329,1329
1449,2366,2366
1450,1720,1720
1451,322,322
1452,814,814
1453,1463,1463
1454,75,75
1455,699,699
1456,1545,1545
1457,2022,2022
1458,2695,2695
1459,2446,2446
1460,1841,1841
1461,1866,1866
1462,2294,2294
1463,1312,1312
1464,1064,1064
1465,72,72
1466,2101,2101
1467,1397,1397
1468,2564,2564
1469,1395,1395
1470,1444,1444
1471,965,965
1472,1267,1267
1473,1290,1290
1474,2335,2335
1475,3770,3770
1476,1548,1548
1477,4102,4102
1478,2758,2758
1479,2394,2394
1480,2032,2032
1481,727,727
1482,1325,1325
1483,810,810
1484,1773,1773
1485,1185,1185
1486,1628,1628
1487,1570,1570
1488,819,819
1489,1533,1533
