Intersection_ID,ID,GEOID,BG_TOTAL_AREA,INTERSECTION_TOTAL_AREA,INTERSECTION_LAND_AREA,BG_LAND_AREA,num_roof,rooftop_pct
3922,1874,250235202013,2479243.28910976,1087943.26772414,1087943.26772403,2479243.28910943,371,0.47381864623243936
8965,4423,250235453003,3204830.42348897,3204829.14907887,1305418.16181085,1305419.43622095,886,1
8940,4422,250235453001,3351813.77066562,3351813.77066386,2792670.92074894,2792670.92074922,1303,1
9010,4429,250235454002,14174950.9724273,14174902.0436237,4476365.36349005,4476414.29229329,1034,1
9199,4431,250235601005,10464364.4841056,10460762.302289,5762588.48840619,5765807.01272783,905,0.9988962472406181
2226,2656,250235081014,7307405.44455817,3107364.63553189,2914620.74371339,6914804.80228275,502,0.490234375
9325,4440,250235611004,16216880.5289615,16214264.9640861,16167272.6451582,16169675.9619733,584,1
1415,1914,250235051042,734771.303217249,734771.105110894,703162.214514227,703162.412620614,663,1
1813,2661,250235071011,6874197.81924754,1758200.03749883,1758200.03749882,6724255.30907886,276,0.2881002087682672
1644,2637,250235061041,7808433.12414829,7806160.84607936,7661767.04675294,7661894.16454472,891,1
1413,1914,250235051041,2088884.52047726,2024810.93905794,2024810.93905793,2088884.5204774,471,0.9671457905544147
1932,2667,250235071034,3249898.45867758,2479587.7789656,2389417.58632882,3116121.4157162,554,0.7847025495750708
4415,2538,250235232011,2582328.5804069,712100.325054393,688157.945234387,2555892.13030428,239,0.41206896551724137
2113,2653,250235081011,5846943.23145737,2143077.09404981,1555101.38486755,5097457.1182801,478,0.5352743561030235
7214,4391,250235411003,25809876.2516237,25809868.9144141,25186679.8459278,25186687.1831368,898,1
2258,2653,250235081021,3141928.15485895,3037023.26788211,2819785.29720326,2896510.59624831,859,0.9761363636363637
3918,1875,250235202012,1506995.95970748,180987.569765013,180987.569765006,1506995.95970743,108,0.20454545454545456
459,1887,250235021021,1808788.70769637,1808719.63911807,1808719.63911805,1808788.7076965,743,1
412,1888,250235021011,2140359.03829719,685474.2412203,685474.2412203,2140359.03829708,440,0.5412054120541205
367,1865,250235012041,11033829.025308,678142.07699365,678142.076993679,10722845.9224481,54,0.0379746835443038
2115,2652,250235081011,5846943.23145737,3407989.48250956,3401197.45541794,5097457.1182801,323,0.3617021276595745
1033,1906,250235041011,16314247.6008171,11078715.6667254,10979724.4588765,16215256.3929696,704,0.5881370091896407
2324,2655,250235082003,7166123.475122,7149746.05815464,7009809.54341024,7026126.103099,905,0.9988962472406181
9380,4441,250235611005,3509486.99786566,3427814.29716204,3285668.4632048,3328279.5197695,426,1
3913,1882,250235202012,1506995.95970748,506827.983139434,506827.983139435,1506995.95970743,234,0.4431818181818182
1135,1908,250235041023,10046542.3134997,7249826.32747863,7249826.32747887,10046542.3135003,622,0.6996625421822272
1670,2637,250235061042,8549360.3479568,6892951.76248807,6889495.69250793,8545904.2779756,959,0.7647527910685805
5140,2571,250235252041,6653896.00477194,3119111.56142023,3073937.11512588,6439792.54649309,555,0.6257046223224352
9253,4437,250235611001,37909328.4441597,37869388.71048,10934969.7208933,10974909.4545697,1191,0.9974874371859297
990,1907,250235041011,16314247.6008171,5233605.5057667,5233605.50576677,16215256.3929696,493,0.4118629908103592
1066,1907,250235041021,7509036.70999936,7491197.82855488,7379199.13424518,7397038.01568915,802,1
1363,1912,250235051023,8375929.23304649,8375498.78343767,8362197.85058291,8362598.59790601,700,1
2311,2656,250235082002,9960733.07778549,6144249.57176262,6144249.57176247,9894668.45353341,788,0.6239113222486145
579,1899,250235031011,7219140.36231127,1565456.59072132,1565456.59072131,7213376.26473649,120,0.12307692307692308
825,1897,250235031023,1849286.25893123,1268638.11424471,1268638.11424467,1849286.25893095,236,0.5756097560975609
1037,1906,250235041012,3786541.89026801,1731905.91844324,1618423.85595423,3568584.03206694,125,0.18382352941176472
4250,2649,250235221021,16056363.190809,3237022.82318548,2988672.72137815,15314610.7240401,239,0.19735755573905864
4186,2649,250235221011,4475081.22564196,4273167.40656591,4071949.71683293,4211214.12013358,888,0.9631236442516269
8759,4419,250235452002,3534018.34797978,3515276.85633937,2908475.82745264,2927007.19645997,1009,0.9970355731225297
753,1895,250235031021,3962013.26201275,3609493.03354905,3602086.90757546,3954607.13603881,573,0.9009433962264151
2278,2654,250235081022,4008059.78679469,3998316.07319939,3193389.77141018,3196747.16061895,1010,0.9990108803165183
2228,2657,250235081014,7307405.44455817,858640.560219295,858640.560219275,6914804.80228275,86,0.083984375
152,1857,250235011022,2738815.08936017,1436739.49331841,1436739.4933184,2649517.46865683,605,0.6013916500994035
721,1895,250235031012,3973376.43846637,2420279.66180324,2420279.66180324,3973376.43846676,495,0.6716417910447762
1849,2661,250235071012,4100926.6335649,4100450.08262074,3977466.24816598,3977869.71677504,511,1
1550,2636,250235061023,4211304.63556332,4211116.08612355,4211116.08612368,4211304.63556335,483,1
9111,4427,250235454004,1412839.06602734,1412839.06602681,1088193.59991299,1088193.59991324,569,1
1906,2664,250235071031,2728703.63580614,828195.711523613,828195.711523671,2728703.63580631,114,0.19387755102040816
8525,4414,250235451001,7530699.04778375,7497535.18106486,7369813.3952588,7402977.261978,1148,1
