GEOID,ID,tot_roofs,BG_RT_pct
250092057005,766,118,0.3352272727272727
250092057005,782,234,0.6647727272727273
250092058001,766,33,0.13524590163934427
250092058001,782,201,0.8237704918032787
250092058001,788,10,0.040983606557377046
250092058002,766,197,1
250092058003,765,193,0.5361111111111111
250092058003,766,60,0.16666666666666666
250092058003,782,107,0.2972222222222222
250092059001,787,438,1
250092059002,786,225,0.6617647058823529
250092059002,787,115,0.3382352941176471
250092059003,786,408,1
250092060001,770,95,0.4460093896713615
250092060001,788,118,0.5539906103286385
250092060002,770,67,0.32524271844660196
250092060002,788,139,0.6747572815533981
250092061001,769,4,0.02197802197802198
250092061001,771,136,0.7472527472527473
250092061001,774,42,0.23076923076923078
250092061002,770,237,1
250092062001,775,37,0.17535545023696683
250092062001,776,174,0.8246445497630331
250092062002,773,84,0.2926829268292683
250092062002,774,203,0.7073170731707317
250092062003,773,282,1
250092063001,777,217,1
250092063002,776,273,1
250092063003,777,79,0.3542600896860987
250092063003,778,39,0.17488789237668162
250092063003,779,105,0.47085201793721976
250092063004,778,210,1
250092064001,778,46,0.20535714285714285
250092064001,779,178,0.7946428571428571
250092064002,780,373,0.47455470737913485
250092064002,781,413,0.5254452926208651
250092064003,780,334,1
250092064004,778,204,0.5930232558139535
250092064004,781,140,0.4069767441860465
250092065001,779,105,0.3860294117647059
250092065001,780,167,0.6139705882352942
250092065002,779,228,0.7889273356401384
250092065002,780,61,0.21107266435986158
250092065003,777,136,0.6699507389162561
250092065003,779,67,0.33004926108374383
250092066001,764,205,1
250092066002,763,153,0.583969465648855
250092066002,764,109,0.41603053435114506
250092066003,763,275,1
250092066004,762,180,0.43373493975903615
250092066004,764,235,0.5662650602409639
250092067001,760,143,0.6777251184834123
250092067001,762,68,0.3222748815165877
250092067002,761,99,1
250092067003,761,37,0.23717948717948717
250092067003,763,119,0.7628205128205128
250092067004,760,54,0.2647058823529412
250092067004,761,150,0.7352941176470589
250092068001,772,16,0.05211726384364821
250092068001,777,291,0.9478827361563518
250092068002,769,23,0.22115384615384615
250092068002,771,16,0.15384615384615385
250092068002,772,65,0.625
250092069001,759,24,1
250092069002,759,137,1
250092069003,758,17,0.18085106382978725
250092069003,759,77,0.8191489361702128
250092069004,759,71,1
250092070001,757,59,0.44696969696969696
250092070001,758,39,0.29545454545454547
250092070001,769,34,0.25757575757575757
250092070002,768,123,0.9919354838709677
250092070002,770,1,0.008064516129032258
250092071001,766,78,0.3627906976744186
250092071001,767,137,0.6372093023255814
250092071002,766,32,0.16753926701570682
250092071002,767,159,0.8324607329842932
250092071003,766,172,1
250092072001,757,134,0.25968992248062017
250092072001,765,67,0.12984496124031009
250092072001,766,205,0.39728682170542634
250092072001,767,109,0.21124031007751937
250092072001,NA,1,0.001937984496124031
250092072002,757,17,0.1827956989247312
250092072002,768,76,0.8172043010752689
250092081011,798,351,0.8478260869565217
250092081011,799,63,0.15217391304347827
250092081012,798,706,0.9697802197802198
250092081012,800,22,0.03021978021978022
250092081013,799,428,1
250092081014,796,394,0.6566666666666666
250092081014,799,206,0.3433333333333333
250092081021,796,371,0.9973118279569892
250092081021,NA,1,0.002688172043010753
250092081022,797,378,1
250092081023,797,343,1
250092081024,796,176,0.5659163987138264
250092081024,797,135,0.4340836012861736
250092082001,799,322,0.5897435897435898
250092082001,803,224,0.41025641025641024
250092082002,799,31,0.08072916666666667
250092082002,800,353,0.9192708333333334
250092082003,800,227,0.33187134502923976
250092082003,801,241,0.35233918128654973
250092082003,802,6,0.008771929824561403
250092082003,803,210,0.30701754385964913
250092082004,801,561,0.9705882352941176
250092082004,802,5,0.00865051903114187
250092082004,808,12,0.020761245674740483
250092083011,802,100,0.13315579227696406
250092083011,803,632,0.8415446071904128
250092083011,806,19,0.02529960053262317
250092083012,805,319,0.9608433734939759
250092083012,806,13,0.0391566265060241
250092083021,807,608,1
250092083022,804,494,0.49203187250996017
250092083022,805,510,0.5079681274900398
250092083023,803,42,0.07894736842105263
250092083023,804,95,0.17857142857142858
250092083023,805,395,0.7424812030075187
250092084011,811,81,0.21372031662269128
250092084011,812,298,0.7862796833773087
250092084012,812,141,0.19183673469387755
250092084012,813,94,0.12789115646258503
250092084012,814,500,0.6802721088435374
250092084021,810,2,0.0034904013961605585
250092084021,813,571,0.9965095986038395
250092084022,808,28,0.057494866529774126
250092084022,809,25,0.0513347022587269
250092084022,810,380,0.7802874743326489
250092084022,812,54,0.11088295687885011
250092091001,1199,78,0.13494809688581316
250092091001,1201,500,0.8650519031141869
250092091002,1199,348,1
250092091003,1198,45,0.07009345794392523
250092091003,1199,9,0.014018691588785047
250092091003,1200,588,0.9158878504672897
250092091004,1201,496,1
250092091005,1197,44,0.060941828254847646
250092091005,1198,298,0.41274238227146814
250092091005,1199,228,0.3157894736842105
250092091005,1200,152,0.21052631578947367
250092092001,1203,287,0.5966735966735967
250092092001,1204,193,0.40124740124740127
250092092001,1229,1,0.002079002079002079
250092092002,1202,50,0.09765625
250092092002,1203,462,0.90234375
250092092003,1202,98,0.1598694942903752
250092092003,1203,192,0.3132137030995106
250092092003,1204,323,0.5269168026101142
250092092004,1202,409,0.5595075239398085
250092092004,1203,2,0.0027359781121751026
250092092004,1204,320,0.4377564979480164
250092101001,1227,466,0.32956152758132956
250092101001,1228,946,0.669024045261669
250092101001,1230,2,0.0014144271570014145
250092101002,1228,43,0.06564885496183206
250092101002,1230,612,0.934351145038168
250092101003,1230,654,1
250092101004,1230,637,1
250092102001,1226,349,0.5279878971255674
250092102001,1227,113,0.17095310136157338
250092102001,1229,199,0.3010590015128593
