block_id,taz_id,area_fct
250010130024017,4641,1
250010130024018,4641,1
250010130024019,4641,1
250010130024020,4641,1
250010130024021,4641,1
250010130024022,4641,1
250010130024023,4641,1
250010130024024,4641,1
250010130024025,4641,1
250010130024026,4641,1
250010130024027,4641,1
250010130024028,4641,1
250010130024029,4641,1
250010130024030,4641,1
250010130024031,4641,1
250010130024032,4641,1
250010130024033,4641,1
250010130024034,4641,1
250010130024035,4641,1
250010130024036,4641,1
250010130024037,4641,1
250010130024038,4641,1
250010130024039,4641,1
250010131001000,4654,1
250010131001001,4654,1
250010131001002,4654,1
250010131001003,4654,1
250010131001004,4654,1
250010131001005,4654,1
250010131001006,4654,1
250010131001007,4654,1
250010131001008,4654,1
250010131001009,4654,1
250010131001010,4654,1
250010131001011,4654,1
250010131001012,4654,1
